matricule,nom, prenom, phone, promos, referenciel,heure,status,date
1,Diop,Salimata,776699665,6,Dev-Web,08:00,Present,19/04/2024
2,Sall,Baba,776699665,6,Dev-Data,09:10,Retard,19/04/2024
3,Sy,Demba,776699565,6,Ref-Dig,vide,Absent,19/04/2024
4,Faye,Rama,709622665,6,Dev-Web,07:40,Present,19/04/2024
5,Kane,Aly,78232665,6,Dev-Data,09:10,Present,19/04/2024
6,Lo,Khady,77944665,6,Ref-Dig,08:20,Present,19/04/2024
6,Diallo,Moussa,772302020,6,Dev-Web,07:40,Present,19/04/2024    
8,Faye,Demba,709673562,6,Dev-Data,08:40,Retard,19/04/2024
9,Sylla,Penda,758905566,6,Ref-Dig,08:05,Present,18/04/2024
10,Seck,Ibra,779063622,6,Dev-Web,vide,Absent,19/04/2024
11,Diagne,Faly,8965255,6,Dev-Web,07:10,Present,19/04/2024
12,Sylla,Fatima,773883983,6,Ref-Dig,07:30,Present,19/04/2024
13,Mbaye,Papa,33399223,6,Dev-Data,07:55,Present,19/04/2024
1,Diop,Salimata,776699665,5,Dev-Web,08:00,Present,19/04/2024
2,Sall,Baba,776699665,5,Dev-Data,09:10,Retard,19/04/2024
3,Sy,Demba,776699565,5,Ref-Dig,vide,Absent,19/04/2024
4,Faye,Rama,709622665,5,Dev-Web,07:40,Present,19/04/2024
5,Kane,Aly,78232665,5,Dev-Data,09:10,Present,19/04/2024
6,Lo,Khady,77944665,5,Ref-Dig,08:20,Present,19/04/2024
6,Diallo,Moussa,772302020,5,Dev-Web,07:40,Present,19/04/2024    
8,Faye,Demba,709673562,5,Dev-Data,08:40,Retard,19/04/2024
9,Sylla,Penda,758905566,5,Ref-Dig,08:05,Present,19/04/2024
10,Seck,Ibra,779063622,5,Dev-Web,vide,Absent,19/04/2024
11,Diagne,Faly,8965255,5,Dev-Web,07:10,Present,19/04/2024
12,Sylla,Fatima,773883983,5,Ref-Dig,07:30,Present,19/04/2024
13,Mbaye,Papa,33399223,5,Dev-Data,07:55,Present,19/04/2024
1,Diop,Salimata,776699665,4,Dev-Web,08:00,Present,19/04/2024
2,Sall,Baba,776699665,4,Dev-Data,09:10,Retard,19/04/2024
3,Sy,Demba,776699565,4,Ref-Dig,vide,Absent,19/04/2024
4,Faye,Rama,709622665,4,Dev-Web,07:40,Present,19/04/2024
5,Kane,Aly,78232665,4,Dev-Data,09:10,Present,19/04/2024
6,Lo,Khady,77944665,4,Ref-Dig,08:20,Present,19/04/2024
6,Diallo,Moussa,772302020,4,Dev-Web,07:40,Present,19/04/2024    
8,Faye,Demba,709673562,4,Dev-Data,08:40,Retard,17/04/2024
9,Sylla,Penda,758905566,4,Ref-Dig,08:05,Present,18/04/2024
10,Seck,Ibra,779063622,4,Dev-Web,vide,Absent,11/04/2024
11,Diagne,Faly,8965255,4,Dev-Web,07:10,Present,12/04/2024
12,Sylla,Fatima,773883983,4,Ref-Dig,07:30,Present,21/04/2024
13,Mbaye,Papa,33399223,4,Dev-Data,07:55,Present,22/04/2024
1,Diop,Salimata,776699665,3,Dev-Web,08:00,Present,11/04/2024
2,Sall,Baba,776699665,3,Dev-Data,09:10,Retard,12/04/2024
3,Sy,Demba,776699565,3,Ref-Dig,vide,Absent,11/04/2024
4,Faye,Rama,709622665,3,Dev-Web,07:40,Present,12/04/2024
5,Kane,Aly,78232665,3,Dev-Data,09:10,Present,11/04/2024
6,Lo,Khady,77944665,3,Ref-Dig,08:20,Present,15/04/2024
6,Diallo,Moussa,772302020,3,Dev-Web,07:40,Present,15/04/2024    
8,Faye,Demba,709673562,3,Dev-Data,08:40,Retard,17/04/2024
9,Sylla,Penda,758905566,3,Ref-Dig,08:05,Present,18/04/2024
10,Seck,Ibra,779063622,3,Dev-Web,vide,Absent,11/04/2024
11,Diagne,Faly,8965255,3,Dev-Web,07:10,Present,12/04/2024
12,Sylla,Fatima,773883983,3,Ref-Dig,07:30,Present,21/04/2024
13,Mbaye,Papa,33399223,3,Dev-Data,07:55,Present,22/04/2024
1,Diop,Salimata,776699665,2,Dev-Web,08:00,Present,11/04/2024
2,Sall,Baba,776699665,2,Dev-Data,09:10,Retard,12/04/2024
3,Sy,Demba,776699565,2,Ref-Dig,vide,Absent,11/04/2024
4,Faye,Rama,709622665,2,Dev-Web,07:40,Present,12/04/2024
5,Kane,Aly,78232665,2,Dev-Data,09:10,Present,11/04/2024
6,Lo,Khady,77944665,2,Ref-Dig,08:20,Present,15/04/2024
6,Diallo,Moussa,772302020,2,Dev-Web,07:40,Present,15/04/2024    
8,Faye,Demba,709673562,2,Dev-Data,08:40,Retard,17/04/2024
9,Sylla,Penda,758905566,2,Ref-Dig,08:05,Present,18/04/2024
10,Seck,Ibra,779063622,2,Dev-Web,vide,Absent,11/04/2024
11,Diagne,Faly,8965255,2,Dev-Web,07:10,Present,12/04/2024
12,Sylla,Fatima,773883983,2,Ref-Dig,07:30,Present,21/04/2024
13,Mbaye,Papa,33399223,2,Dev-Data,07:55,Present,22/04/2024
 1,Diop,Salimata,776699665,1,Dev-Web,08:00,Present,11/04/2024
2,Sall,Baba,776699665,1,Dev-Data,09:10,Retard,12/04/2024
3,Sy,Demba,776699565,1,Ref-Dig,vide,Absent,11/04/2024
